Renner,€,T,Team,OML,KBK,SAM,STR,NOK,BKC,MSR,RVB,E3,IFF,DDV,RVV,SP,PR,RVL,BR P,AGR,WA P,LBL,Tot Ptn,Ptn/M,#races '26,Opsomming races,Specialiteit,Level
WELLENS Tim,6,UAE,UAE Team Emirates - XRG,X,X,,X,X,,X,,X,X,X,X,,X,,X,X,,,0,"0,0",12,"OML, KBK, STR, NOK, MSR, E3, IFF, DDV, RVV, PR, BR P, AGR",GC,WT
VERMEERSCH Gianni,4,RBBH,Red Bull - BORA - hansgrohe,X,X,X,X,X,,,,X,X,X,X,,X,,,,,,0,"0,0",10,"OML, KBK, SAM, STR, NOK, E3, IFF, DDV, RVV, PR",Oneday,WT
DE BONDT Dries,4,JAY,Team Jayco AlUla,X,X,,,X,X,,,X,X,X,X,,X,X,,,,,0,"0,0",10,"OML, KBK, NOK, BKC, E3, IFF, DDV, RVV, PR, RVL",Oneday,WT
KRIJNSEN Jelte,3,JAY,Team Jayco AlUla,X,X,,,X,X,,X,X,X,X,X,,X,,,,,,0,"0,0",10,"OML, KBK, NOK, BKC, RVB, E3, IFF, DDV, RVV, PR",GC,PT
VERMEERSCH Florian,5,UAE,UAE Team Emirates - XRG,X,X,,X,,,X,X,X,X,X,X,,X,,,,,,0,"0,0",10,"OML, KBK, STR, MSR, RVB, E3, IFF, DDV, RVV, PR",Oneday,WT
PHILIPSEN Jasper,9,ALP,Alpecin-Premier Tech,X,X,,,X,,X,X,,X,X,,X,X,,,,,,0,"0,0",9,"OML, KBK, NOK, MSR, RVB, IFF, DDV, SP, PR",Sprint,WT
MOHORIČ Matej,5,BAH,Bahrain - Victorious,X,X,,X,,,X,,X,X,X,X,,X,,,,,,0,"0,0",9,"OML, KBK, STR, MSR, E3, IFF, DDV, RVV, PR",Oneday,PT
BENOOT Tiesj,6,DEC,Decathlon CMA CGM Team,X,X,,,,,,,X,X,X,X,,,,,X,X,X,0,"0,0",9,"OML, KBK, E3, IFF, DDV, RVV, AGR, WA P, LBL",Oneday,WT
POWLESS Neilson,6,EFE,EF Education - EasyPost,,,,X,,,X,,X,,X,X,,X,,,X,X,X,0,"0,0",9,"STR, MSR, E3, DDV, RVV, PR, AGR, WA P, LBL",Oneday,WT
ALBANESE Vincenzo,3,EFE,EF Education - EasyPost,X,X,,,,,X,X,X,X,X,X,,X,,,,,,0,"0,0",9,"OML, KBK, MSR, RVB, E3, IFF, DDV, RVV, PR",Hills,PT
